#{"t_start": 1638295899.3372169, "env_id": "AntBulletEnv-v0"}
r,l,t
454.643666,1000,23.423966
485.924588,1000,47.540619
332.795077,1000,71.34626
500.378101,1000,95.279091
389.85685,1000,119.037948
480.83227,1000,141.820238
484.14607,1000,165.741161
550.456703,1000,189.492079
621.561673,1000,213.522517
618.980075,1000,237.560323
703.515091,1000,261.618844
544.857485,1000,285.561906
548.134971,1000,309.352719
702.433132,1000,332.839404
610.803045,1000,356.75655
902.755765,1000,380.475394
817.695857,1000,404.182017
1007.159198,1000,427.830723
711.164045,1000,451.512444
891.955805,1000,474.99303
1024.001259,1000,499.062239
1079.261164,1000,518.03528
1195.936613,1000,542.048509
1216.268276,1000,565.304513
1153.227594,1000,589.021125
1174.327565,1000,612.975044
1188.573401,1000,636.608602
1245.044016,1000,660.3699
1283.981746,1000,684.420301
1293.276049,1000,708.314344
1372.245144,1000,732.261033
1365.325234,1000,756.060786
1395.799246,1000,779.775786
1512.799308,1000,803.757496
1469.972642,1000,827.58628
1430.826814,1000,851.696743
1636.521426,1000,875.424171
1677.444251,1000,899.145719
1707.790428,1000,922.56127
1528.67069,1000,945.513915
1613.786401,1000,969.307344
1749.764576,1000,993.034846
1772.659316,1000,1011.725406
1700.828163,1000,1035.466393
1814.019181,1000,1059.000727
1804.991819,1000,1082.603812
1884.218989,1000,1106.199487
1924.784095,1000,1129.894438
1845.667851,1000,1153.53656
1952.311006,1000,1178.055246
1872.987106,1000,1201.614664
1905.494967,1000,1224.204696
1869.438457,1000,1247.269617
1981.84299,1000,1270.357275
1956.469894,1000,1294.066352
1960.480886,1000,1317.904293
1962.532509,1000,1341.121766
2014.16198,1000,1364.335218
2003.0373,1000,1387.68152
2078.191062,1000,1410.886425
1936.498947,1000,1433.735908
2052.204047,1000,1456.928944
2099.067244,1000,1480.01115
2128.752741,1000,1498.23636
2162.52934,1000,1521.358192
2183.916417,1000,1544.502937
2184.359025,1000,1567.40976
2205.921051,1000,1590.367847
2190.757779,1000,1613.262445
2249.153233,1000,1636.527999
2245.379588,1000,1659.700689
2194.242816,1000,1682.612783
2164.641908,1000,1705.953377
2334.97266,1000,1729.39262
2323.1822,1000,1752.826175
2318.979284,1000,1776.176571
2277.637068,1000,1799.580103
2269.331607,1000,1823.114542
2367.627091,1000,1846.785964
2413.524673,1000,1870.32174
2435.330538,1000,1893.515507
2396.403755,1000,1916.889374
2348.5398,1000,1940.553242
2347.2689,1000,1964.055972
2333.565149,1000,1986.660936
2507.857724,1000,2004.65213
2428.484203,1000,2027.578939
2433.038414,1000,2050.580401
2507.758269,1000,2072.532614
2495.973741,1000,2094.797394
2502.128181,1000,2117.40681
2478.425658,1000,2139.453249
2526.66203,1000,2162.246828
2580.224806,1000,2184.484127
2649.881627,1000,2206.996982
2469.902793,1000,2228.720772
2570.914086,1000,2250.888829
2600.81282,1000,2272.914256
2474.626686,1000,2295.739616
2571.634806,1000,2318.754146
2669.57758,1000,2341.595955
2568.261218,1000,2364.376937
2554.207418,1000,2387.195982
2732.429869,1000,2410.097049
2675.002638,1000,2432.866066
2691.96105,1000,2455.534596
2633.360151,1000,2473.455819
2523.8862,1000,2496.258707
2763.449904,1000,2519.347253
2624.370431,1000,2542.146616
2687.397935,1000,2564.879521
2681.012491,1000,2587.644814
2813.623013,1000,2610.692875
2682.899575,1000,2633.544086
2740.945367,1000,2656.857834
2820.98836,1000,2680.101742
2787.776869,1000,2702.993289
2859.141774,1000,2726.026174
2825.444921,1000,2749.066257
2853.566137,1000,2772.090469
2765.505932,1000,2795.183136
2795.587086,1000,2818.099364
2900.811612,1000,2839.946727
2821.474355,1000,2861.77362
2881.933657,1000,2884.480771
