#{"t_start": 1638295899.3285286, "env_id": "AntBulletEnv-v0"}
r,l,t
7.932454,31,4.798565
497.748962,1000,28.841917
230.417381,1000,47.983489
415.308819,1000,71.757881
302.174314,1000,95.688577
0.669437,185,103.246503
449.903722,1000,126.118793
429.657424,1000,149.880775
532.355125,1000,173.534163
514.630828,1000,197.405867
316.849995,1000,216.555018
631.509323,1000,240.55458
566.529923,1000,264.642358
626.442331,1000,288.548753
642.060976,1000,312.308342
786.094198,1000,335.841599
790.814158,1000,359.75601
740.045186,1000,383.511233
831.910986,1000,407.115078
1015.73138,1000,430.726552
1069.003262,1000,454.401578
1053.300181,1000,478.01245
1061.156564,1000,502.060587
963.461043,1000,526.06334
1025.301113,1000,550.115751
1121.36323,1000,573.236071
1156.726327,1000,596.927119
1206.685697,1000,620.999202
1264.763008,1000,644.655008
1301.82901,1000,668.402638
1320.89948,1000,692.442066
1326.970289,1000,716.338284
1401.050004,1000,735.306936
1384.389228,1000,759.024416
1373.138751,1000,782.720496
1535.186928,1000,806.708529
1601.595538,1000,830.52864
1621.546604,1000,854.697392
1671.767883,1000,878.354259
1610.72457,1000,902.055106
1629.035626,1000,925.493535
1666.505002,1000,948.482357
1704.581601,1000,972.203282
1644.345877,1000,995.943755
1697.041162,1000,1019.773465
1563.27301,1000,1043.373864
1772.374995,1000,1066.873619
1877.526977,1000,1090.624314
1854.959833,1000,1114.147778
1836.716234,1000,1137.904152
1916.51281,1000,1161.420715
1982.520545,1000,1186.293435
1886.503709,1000,1209.321888
1932.273378,1000,1226.940906
1938.308781,1000,1250.177505
1930.112908,1000,1273.295139
2034.45877,1000,1297.009433
2048.828034,1000,1320.733157
2029.733449,1000,1343.974526
2061.65927,1000,1367.220979
1969.305529,1000,1390.497547
1927.812351,1000,1413.670123
2030.26364,1000,1436.602733
2022.697781,1000,1459.733338
2013.114505,1000,1482.880627
2173.010499,1000,1506.049188
2192.671636,1000,1529.180689
2105.594015,1000,1552.365525
2223.015578,1000,1575.12457
2192.661662,1000,1598.160042
2229.024682,1000,1621.207701
2102.835379,1000,1644.382627
2202.055023,1000,1667.498863
2277.372054,1000,1690.347692
2302.233379,1000,1708.826218
2248.329854,1000,1732.276006
2286.690944,1000,1755.69148
2349.107126,1000,1779.040646
2334.478085,1000,1802.530519
2241.78769,1000,1825.976658
2403.95192,1000,1849.64165
2297.030059,1000,1873.238799
2327.722963,1000,1896.393339
2471.685227,1000,1919.857159
2234.028798,1000,1943.481118
2411.398362,1000,1966.785231
2251.732569,1000,1989.505635
2432.60282,1000,2012.477906
2416.370162,1000,2035.408731
2417.870845,1000,2057.422909
2377.549814,1000,2080.364922
2377.43978,1000,2102.332703
2502.528676,1000,2125.311027
2470.768304,1000,2147.393394
2543.314652,1000,2169.587446
2596.405055,1000,2192.180801
2524.230041,1000,2209.732548
2545.882388,1000,2231.433435
2539.292105,1000,2253.70671
2590.777429,1000,2275.670347
2513.088291,1000,2298.481781
2506.974785,1000,2321.511358
2522.476919,1000,2344.316747
2511.669491,1000,2367.158806
2672.471876,1000,2389.947574
2666.422867,1000,2412.820651
2652.226143,1000,2435.618665
2593.038207,1000,2458.34922
2693.205482,1000,2481.220626
2700.18314,1000,2504.02327
2695.225444,1000,2527.164208
2591.621564,1000,2549.967499
2749.026963,1000,2572.615569
2771.066622,1000,2595.559633
2726.971217,1000,2618.596053
2792.861752,1000,2641.359222
2796.656275,1000,2664.950585
2685.521784,1000,2682.819373
2712.119258,1000,2705.777426
2723.933778,1000,2728.802932
2889.082205,1000,2751.876589
2714.861327,1000,2774.835308
2798.733162,1000,2797.977075
2783.451798,1000,2820.852297
2779.17668,1000,2842.699625
2859.058495,1000,2864.487237
2853.157526,1000,2887.216416
