#{"t_start": 1638295899.3333025, "env_id": "AntBulletEnv-v0"}
r,l,t
483.114612,1000,23.422261
455.539957,1000,47.539106
363.220478,1000,71.344307
469.860847,1000,95.277575
464.795911,1000,119.036458
503.841869,1000,141.817652
527.230132,1000,165.739243
494.465451,1000,189.490455
651.664837,1000,213.520992
578.19535,1000,237.558483
532.632466,1000,261.616673
579.960409,1000,285.560371
616.407781,1000,309.351665
725.608985,1000,332.838045
831.254992,1000,356.755541
775.672541,1000,380.474129
801.875247,1000,404.180522
913.237355,1000,427.829232
957.94188,1000,451.511287
1155.52655,1000,474.991988
1027.502784,1000,499.061172
1074.542178,1000,518.034256
750.771664,1000,542.047294
1140.497468,1000,565.303223
1211.315637,1000,589.019722
1228.985478,1000,612.973915
1151.660278,1000,636.607522
1118.338321,1000,660.368817
1266.233627,1000,684.419111
1319.61649,1000,708.312673
1327.978924,1000,732.259518
1502.954372,1000,756.059566
1308.267866,1000,779.774697
1430.920542,1000,803.756053
1406.218132,1000,827.585217
1501.229673,1000,851.695749
1599.592634,1000,875.422876
1617.425711,1000,899.144806
1670.958338,1000,922.560238
1660.499274,1000,945.512559
1692.486211,1000,969.305741
1656.07557,1000,993.033684
1746.509448,1000,1011.724243
1804.301395,1000,1035.465312
1756.40014,1000,1058.999723
1725.779333,1000,1082.601024
1789.767918,1000,1106.197451
1847.588662,1000,1129.892796
1878.580622,1000,1153.535613
1912.020378,1000,1178.053567
1884.733648,1000,1201.613467
1871.573202,1000,1224.203654
2010.829177,1000,1247.268584
1915.697908,1000,1270.356012
1958.999464,1000,1294.065333
1970.61337,1000,1317.903215
2068.210749,1000,1341.120915
2036.279359,1000,1364.334397
2093.085931,1000,1387.680528
2109.945826,1000,1410.885106
2087.039028,1000,1433.734928
2108.07465,1000,1456.927645
2055.498365,1000,1480.009856
2104.28725,1000,1498.235441
2059.380395,1000,1521.357155
2212.88376,1000,1544.502167
2175.398149,1000,1567.408409
2210.037567,1000,1590.367001
2266.266095,1000,1613.261238
2269.671277,1000,1636.526177
2213.682395,1000,1659.699856
2271.239567,1000,1682.611836
2260.991696,1000,1705.951965
2352.17508,1000,1729.391707
2274.788816,1000,1752.824678
2225.875731,1000,1776.175688
2295.962517,1000,1799.578835
2339.615423,1000,1823.113511
2343.791096,1000,1846.784794
2397.714771,1000,1870.320303
2386.137111,1000,1893.513952
2459.684826,1000,1916.888249
2407.544584,1000,1940.55177
2261.038154,1000,1964.055091
2351.307151,1000,1986.660187
2334.834146,1000,2004.651247
2563.395552,1000,2027.578067
2472.204135,1000,2050.579589
2460.003833,1000,2072.531383
2404.069247,1000,2094.796581
2507.8219,1000,2117.405542
2510.381238,1000,2139.452042
2478.129078,1000,2162.245994
2462.445338,1000,2184.483259
2522.862186,1000,2206.996194
2463.141566,1000,2228.719893
2609.372325,1000,2250.887979
2604.975351,1000,2272.913067
2693.509011,1000,2295.73841
2578.012196,1000,2318.753285
2688.314671,1000,2341.594998
2585.561346,1000,2364.375548
2591.745339,1000,2387.195088
2662.09695,1000,2410.09622
2606.229999,1000,2432.865286
2500.256786,1000,2455.533832
2659.679009,1000,2473.455024
2749.836825,1000,2496.257602
2691.446199,1000,2519.346319
2743.774312,1000,2542.145334
2799.370247,1000,2564.878531
2810.949511,1000,2587.643365
2573.84143,1000,2610.6917
2784.744652,1000,2633.543086
2781.750614,1000,2656.856923
2366.721303,1000,2680.100942
2649.410042,1000,2702.992464
2753.633942,1000,2726.025387
2838.089129,1000,2749.065223
2848.006824,1000,2772.089326
2800.110289,1000,2795.182373
2866.552551,1000,2818.098171
2772.799559,1000,2839.945686
2904.106687,1000,2861.772851
2893.541682,1000,2884.479927
