#{"t_start": 1638295899.3340795, "env_id": "AntBulletEnv-v0"}
r,l,t
444.221526,1000,23.422656
506.652815,1000,47.539535
492.525952,1000,71.344692
443.008583,1000,95.277942
450.60283,1000,119.036849
529.580441,1000,141.818092
550.961363,1000,165.739639
558.255339,1000,189.490879
566.809252,1000,213.521426
484.326458,1000,237.558933
561.967549,1000,261.617134
555.179918,1000,285.560769
742.985164,1000,309.352079
800.815551,1000,332.838493
823.79329,1000,356.75596
860.753247,1000,380.474509
958.686641,1000,404.181361
806.228952,1000,427.830107
927.37545,1000,451.511676
1068.314536,1000,474.992334
1123.748736,1000,499.061563
1186.217606,1000,518.034639
1049.926826,1000,542.047751
1094.591445,1000,565.303679
943.961928,1000,589.020375
1174.746511,1000,612.974301
1205.911101,1000,636.607908
969.238654,1000,660.369243
1294.120844,1000,684.419556
1258.590111,1000,708.313582
1420.030939,1000,732.259943
1413.977671,1000,756.059961
1233.342419,1000,779.775098
1502.434546,1000,803.756553
1464.481839,1000,827.585622
1506.532719,1000,851.696136
1607.367884,1000,875.423404
1599.863207,1000,899.145198
1671.975134,1000,922.560603
1649.192496,1000,945.513138
1686.220705,1000,969.306146
1703.304242,1000,993.034125
1724.394911,1000,1011.724697
1791.652924,1000,1035.465708
1804.4586,1000,1059.000093
1820.68631,1000,1082.60233
1858.988641,1000,1106.197917
1877.729815,1000,1129.893579
1802.879166,1000,1153.53597
1944.507744,1000,1178.053984
1910.560607,1000,1201.613873
1836.942015,1000,1224.204088
1988.104267,1000,1247.268985
1945.542055,1000,1270.356404
1982.002754,1000,1294.065736
2005.627898,1000,1317.90361
1913.648673,1000,1341.121289
2086.763338,1000,1364.334769
2025.937785,1000,1387.680885
2049.313604,1000,1410.885762
2038.934839,1000,1433.735366
2046.138163,1000,1456.928267
2061.061392,1000,1480.010564
2110.555718,1000,1498.235805
2141.58266,1000,1521.357522
2194.63214,1000,1544.502519
2135.336612,1000,1567.40897
2230.003123,1000,1590.367327
2222.145989,1000,1613.261806
2165.353723,1000,1636.526531
2223.992636,1000,1659.700199
2343.485763,1000,1682.612201
2271.070783,1000,1705.952355
2238.475915,1000,1729.392058
2245.344151,1000,1752.8252
2347.098196,1000,1776.176054
2312.079422,1000,1799.579309
2247.91829,1000,1823.114012
2407.258563,1000,1846.785307
2233.626941,1000,1870.320878
2306.975973,1000,1893.514348
2225.586891,1000,1916.888614
2377.578931,1000,1940.552403
2361.214171,1000,1964.055441
2398.617925,1000,1986.660542
2529.526399,1000,2004.651596
2384.782389,1000,2027.578452
2519.932028,1000,2050.579976
2463.215118,1000,2072.531749
2590.60267,1000,2094.796946
2481.800008,1000,2117.405908
2527.993926,1000,2139.452387
2598.44977,1000,2162.246325
2464.445971,1000,2184.483612
2583.580756,1000,2206.996543
2639.142467,1000,2228.720252
2627.327903,1000,2250.888326
2541.412464,1000,2272.913392
2522.519816,1000,2295.738741
2642.240139,1000,2318.753677
2558.05586,1000,2341.595397
2454.205274,1000,2364.376148
2562.578434,1000,2387.195443
2704.210595,1000,2410.09655
2620.864299,1000,2432.865636
2582.606618,1000,2455.534172
2589.96168,1000,2473.455356
2677.69186,1000,2496.257944
2619.748366,1000,2519.346757
2703.030822,1000,2542.145702
2724.738226,1000,2564.878928
2785.452603,1000,2587.643965
2756.503267,1000,2610.692133
2733.617366,1000,2633.543509
2686.464303,1000,2656.857284
2770.085395,1000,2680.101264
2636.823739,1000,2702.992858
2646.239474,1000,2726.025767
2611.868559,1000,2749.065558
2839.726495,1000,2772.089696
2849.904215,1000,2795.182696
2660.339373,1000,2818.098538
2772.239068,1000,2839.946003
2784.825282,1000,2861.773193
2876.764513,1000,2884.480287
