#{"t_start": 1638295899.3309412, "env_id": "AntBulletEnv-v0"}
r,l,t
475.090446,1000,23.421096
493.661785,1000,47.537889
432.491532,1000,71.343223
485.438939,1000,95.276445
408.692793,1000,119.034858
494.264853,1000,141.815488
515.678667,1000,165.738106
521.622737,1000,189.489218
565.670384,1000,213.51928
616.859206,1000,237.557006
457.869255,1000,261.615231
665.142346,1000,285.558742
623.685791,1000,309.35051
770.601131,1000,332.83627
765.033225,1000,356.754392
636.082988,1000,380.473049
846.135485,1000,404.179226
1013.421287,1000,427.828136
1041.830886,1000,451.510141
1061.936438,1000,474.990858
982.507418,1000,499.059902
996.834548,1000,518.033022
1037.852243,1000,542.045992
1159.851255,1000,565.301474
1105.870356,1000,589.0186
1205.323,1000,612.97256
1214.293185,1000,636.605793
1265.457888,1000,660.367676
1300.540337,1000,684.41751
1249.442473,1000,708.311487
1140.570881,1000,732.258186
1475.174268,1000,756.058269
1393.995081,1000,779.77299
1448.943927,1000,803.754679
1566.139784,1000,827.583529
1509.164615,1000,851.694134
1587.462341,1000,875.421619
1666.434062,1000,899.143548
1740.583752,1000,922.559173
1634.86836,1000,945.511454
1633.518367,1000,969.304582
1842.56106,1000,993.032483
1780.719111,1000,1011.722814
1833.486391,1000,1035.464181
1826.832249,1000,1058.998529
1806.125335,1000,1082.596998
1901.624144,1000,1106.1961
1863.618941,1000,1129.891639
1795.616478,1000,1153.534481
1858.218738,1000,1178.052186
1888.073487,1000,1201.611923
1925.704494,1000,1224.202179
1966.844781,1000,1247.267436
1967.075734,1000,1270.354855
1932.525337,1000,1294.0641
2016.677712,1000,1317.902114
2005.086021,1000,1341.119872
1787.207238,1000,1364.333216
2038.133329,1000,1387.679459
2082.430493,1000,1410.884045
2140.044803,1000,1433.733439
2126.592525,1000,1456.926476
2055.831879,1000,1480.008861
2118.253086,1000,1498.234056
2061.90201,1000,1521.356073
2135.516501,1000,1544.500784
2192.817928,1000,1567.407201
2261.358841,1000,1590.365498
2229.969583,1000,1613.260261
2179.548481,1000,1636.525132
2196.415532,1000,1659.698691
2204.539422,1000,1682.610393
2238.867122,1000,1705.950786
2359.015084,1000,1729.390604
2233.142544,1000,1752.823142
2383.967424,1000,1776.174383
2184.120926,1000,1799.577702
2224.500138,1000,1823.112174
2307.22652,1000,1846.783076
2365.834267,1000,1870.319235
2321.081898,1000,1893.512707
2435.478575,1000,1916.887205
2459.260302,1000,1940.550654
2451.247326,1000,1964.054007
2369.027197,1000,1986.659193
2265.155131,1000,2004.650224
2472.297477,1000,2027.576897
2447.118745,1000,2050.578251
2527.806886,1000,2072.530342
2057.248357,1000,2094.795573
2468.45829,1000,2117.404538
2585.249647,1000,2139.451007
2573.031817,1000,2162.244978
2640.261804,1000,2184.482258
2496.377551,1000,2206.995204
2601.839062,1000,2228.718847
2597.845502,1000,2250.886617
2434.080633,1000,2272.91203
2606.915013,1000,2295.737434
2433.327412,1000,2318.751777
2696.947761,1000,2341.593934
2634.613268,1000,2364.374544
2630.887532,1000,2387.194087
2575.229337,1000,2410.095211
2597.906182,1000,2432.864252
2645.661172,1000,2455.532772
2595.966145,1000,2473.45404
2620.228996,1000,2496.257029
2660.073711,1000,2519.345473
2803.187709,1000,2542.14479
2512.776331,1000,2564.877455
2693.111976,1000,2587.642768
2766.884053,1000,2610.69093
2805.763339,1000,2633.542214
2771.20714,1000,2656.856204
2733.116709,1000,2680.100386
2677.107779,1000,2702.991433
2768.785172,1000,2726.024678
2857.773535,1000,2749.064593
2876.783179,1000,2772.088804
2802.039334,1000,2795.181672
2701.84119,1000,2818.09754
2821.118614,1000,2839.94515
2859.911236,1000,2861.772133
2851.823023,1000,2884.479412
