#{"t_start": 1638295899.3364146, "env_id": "AntBulletEnv-v0"}
r,l,t
484.968682,1000,23.423574
367.905031,1000,47.540235
357.401411,1000,71.345887
370.068404,1000,95.278642
486.182704,1000,119.0376
477.700671,1000,141.81983
383.25547,1000,165.740717
587.121248,1000,189.491677
602.982189,1000,213.522136
673.977069,1000,237.559923
579.798316,1000,261.618354
706.368492,1000,285.561553
64.266771,164,287.833289
554.111849,1000,311.613133
765.672805,1000,335.102242
699.773037,1000,359.023746
896.321759,1000,382.770846
746.247912,1000,406.418221
723.618383,1000,430.028341
857.692069,1000,453.709787
1090.524702,1000,477.295596
1100.550906,1000,501.363209
979.23031,1000,525.32144
1092.921972,1000,549.386442
1159.411992,1000,572.527241
1033.635209,1000,596.216909
1075.392518,1000,620.266782
1266.86768,1000,643.936396
1285.984369,1000,667.65781
1346.426944,1000,686.720986
1349.003721,1000,710.542134
1300.127479,1000,734.56507
1445.960567,1000,758.326383
1438.283054,1000,782.009485
1473.862039,1000,805.984581
1278.566416,1000,829.806605
1457.139067,1000,853.966377
1544.607673,1000,877.639455
1585.429845,1000,901.342107
1663.849113,1000,924.799592
1715.44328,1000,947.761763
1745.551518,1000,971.508312
1673.169256,1000,995.24593
1750.563358,1000,1019.044824
1825.817057,1000,1042.652839
1699.48462,1000,1066.160604
1811.120778,1000,1089.927254
1815.170644,1000,1113.429401
1785.573404,1000,1137.193678
1822.376207,1000,1160.68931
1902.881483,1000,1180.369752
1855.57776,1000,1203.764435
1864.872277,1000,1226.282967
1854.624817,1000,1249.477196
1972.517727,1000,1272.59215
1993.761169,1000,1296.308876
2012.01735,1000,1320.060461
1967.691314,1000,1343.281329
2028.767652,1000,1366.534026
2048.292889,1000,1389.828502
2157.355729,1000,1413.012773
1988.689523,1000,1435.891414
2096.636147,1000,1459.066905
2092.371174,1000,1482.172196
2072.705249,1000,1505.381059
2123.186434,1000,1528.507474
2281.372452,1000,1551.672163
2152.38418,1000,1574.446879
2135.731281,1000,1597.503387
2195.743766,1000,1620.514705
2157.246694,1000,1643.710794
2287.18236,1000,1661.805358
2372.4217,1000,1684.708831
2266.791575,1000,1708.139086
2326.679125,1000,1731.573061
2309.007605,1000,1755.014645
2344.342586,1000,1778.348095
2438.283486,1000,1801.809277
2338.801751,1000,1825.277518
2378.961991,1000,1848.93785
2425.430349,1000,1872.535551
2387.544159,1000,1895.7151
2359.015652,1000,1919.157192
2408.223988,1000,1942.80304
2427.277023,1000,1966.126795
2408.625957,1000,1988.814794
2414.732627,1000,2011.826295
2491.281268,1000,2034.749596
2431.015067,1000,2056.757344
2482.948808,1000,2079.690024
2462.044715,1000,2101.664385
2351.853115,1000,2124.626997
2490.297152,1000,2146.699969
2638.759638,1000,2164.302038
2339.228009,1000,2186.531291
2636.582932,1000,2209.074667
2463.217161,1000,2230.781961
2584.049535,1000,2253.014898
2568.39308,1000,2275.016309
2566.18307,1000,2297.824017
2675.260483,1000,2320.858536
2675.503781,1000,2343.664272
2658.449494,1000,2366.463237
2672.418767,1000,2389.292968
2592.628491,1000,2412.158326
2651.655238,1000,2434.958562
2685.548509,1000,2457.67684
2740.448838,1000,2480.536368
2552.333171,1000,2503.360277
2578.352798,1000,2526.506569
2784.266075,1000,2549.274717
2696.2457,1000,2571.963936
2780.446586,1000,2594.875234
2807.011228,1000,2617.915555
2743.681734,1000,2635.667214
2836.983957,1000,2659.04831
2778.084223,1000,2682.153332
2818.648739,1000,2705.099784
2732.289561,1000,2728.140459
2705.210601,1000,2751.204129
2659.255588,1000,2774.18241
2768.987604,1000,2797.326443
2836.454599,1000,2820.199774
2939.250495,1000,2842.052203
2681.867928,1000,2863.821638
2600.945912,1000,2886.542898
