#{"t_start": 1638295899.327761, "env_id": "AntBulletEnv-v0"}
r,l,t
440.811264,1000,23.419953
458.75819,1000,47.536396
465.925274,1000,71.342639
-4.726286,22,71.636742
416.410664,1000,95.570205
364.820091,1000,119.326571
455.847966,1000,142.128013
574.295056,1000,166.025609
529.257761,1000,189.780751
541.21406,1000,213.825152
518.385811,1000,237.85486
629.366827,1000,261.917019
529.489591,1000,285.858678
587.559745,1000,309.641521
747.132018,1000,333.137549
860.400405,1000,357.066088
811.189742,1000,380.764147
900.522208,1000,404.469938
769.938576,1000,428.121492
940.732674,1000,451.801534
1062.570751,1000,475.334212
1035.34059,1000,499.362948
930.726277,1000,523.362335
1075.241036,1000,542.343949
1089.529419,1000,565.605947
1160.470716,1000,589.302791
1170.627651,1000,613.272754
1226.677013,1000,636.901512
1271.255489,1000,660.666255
1130.583995,1000,684.717169
1315.204393,1000,708.617361
1348.1146,1000,732.566398
1350.373406,1000,756.359068
1311.052045,1000,780.088105
1414.760582,1000,804.058084
1544.499743,1000,827.873526
1579.4356,1000,852.006509
1572.227065,1000,875.72369
1570.801638,1000,899.42914
1588.504412,1000,922.855097
1721.617813,1000,945.827626
1740.026807,1000,969.593281
1721.6068,1000,993.336256
1725.882072,1000,1017.076695
1749.330017,1000,1035.756993
1784.278707,1000,1059.286615
1797.720615,1000,1082.907959
1881.411151,1000,1106.498987
1755.238478,1000,1130.192777
1828.737745,1000,1153.821685
1926.098966,1000,1178.376727
1895.026513,1000,1201.908424
1917.459553,1000,1224.478994
1947.67513,1000,1247.566757
1940.215583,1000,1270.651266
1975.650961,1000,1294.363419
2054.577762,1000,1318.188402
2037.351942,1000,1341.403796
2026.352281,1000,1364.619573
2064.49413,1000,1387.967752
2116.48583,1000,1411.195601
2107.52536,1000,1434.020029
2109.606938,1000,1457.211501
2097.427792,1000,1480.297511
2135.274527,1000,1503.523918
2103.351939,1000,1521.643099
2112.564706,1000,1544.783121
2221.312401,1000,1567.693508
2121.97998,1000,1590.643112
2149.459604,1000,1613.549402
2203.417298,1000,1636.824799
2270.6546,1000,1659.979751
2254.072569,1000,1682.890421
2235.752946,1000,1706.252451
2368.729078,1000,1729.679777
2341.360274,1000,1753.136783
2429.851071,1000,1776.460841
2323.022284,1000,1799.876909
2099.105113,1000,1823.398946
2363.247648,1000,1847.074986
2382.927356,1000,1870.632495
2369.922574,1000,1893.814398
2384.709789,1000,1917.187346
2371.942792,1000,1940.859599
2380.521675,1000,1964.32959
2418.02872,1000,1986.934261
2453.096266,1000,2009.99723
2371.454982,1000,2027.865853
2352.875607,1000,2050.858225
2485.238962,1000,2072.804467
2227.259662,1000,2095.074584
2395.014185,1000,2117.703433
2558.526311,1000,2139.730642
2493.942648,1000,2162.520117
2517.15803,1000,2184.754619
2513.436238,1000,2207.268755
2585.894438,1000,2228.994704
2586.865515,1000,2251.175249
2636.951485,1000,2273.190867
2569.271245,1000,2296.012071
2690.37538,1000,2319.059131
2653.375804,1000,2341.872471
2589.875994,1000,2364.654937
2687.842124,1000,2387.468415
2727.875304,1000,2410.374021
2633.923031,1000,2433.152344
2666.947401,1000,2455.815526
2719.346201,1000,2478.725821
2642.491007,1000,2496.535542
2716.362997,1000,2519.632927
2728.177879,1000,2542.423944
2694.004094,1000,2565.156816
2767.575807,1000,2587.926696
2678.446896,1000,2610.984173
2832.475147,1000,2633.832684
2702.586974,1000,2657.142666
2747.291191,1000,2680.375572
2815.873391,1000,2703.276985
2746.694556,1000,2726.303888
2738.751563,1000,2749.361358
2806.387628,1000,2772.390292
2778.264622,1000,2795.467649
2850.665656,1000,2818.382677
2890.827122,1000,2840.239436
2875.335208,1000,2862.048935
2770.110144,1000,2884.754262
