#{"t_start": 1638295899.3317258, "env_id": "AntBulletEnv-v0"}
r,l,t
499.835033,1000,23.421504
440.200946,1000,47.538326
439.306278,1000,71.343596
461.125561,1000,95.27682
440.82173,1000,119.035425
503.138827,1000,141.815889
536.135944,1000,165.738504
564.595862,1000,189.489638
517.294311,1000,213.519662
579.479151,1000,237.557445
630.084826,1000,261.615673
588.153654,1000,285.559372
789.669996,1000,309.350898
686.699866,1000,332.837097
854.285866,1000,356.754775
831.545695,1000,380.473426
944.774761,1000,404.179594
1019.607451,1000,427.828496
947.375491,1000,451.510508
977.468434,1000,474.991255
1064.553281,1000,499.060349
1139.150074,1000,518.033482
1193.218805,1000,542.046468
1053.934194,1000,565.302335
1189.813953,1000,589.01899
1093.978808,1000,612.973063
1224.889153,1000,636.606652
1338.47351,1000,660.368052
1288.607437,1000,684.418289
1359.395257,1000,708.311865
1300.0938,1000,732.258643
1269.254263,1000,756.058703
1387.508106,1000,779.773948
1535.815289,1000,803.755116
1559.725233,1000,827.583947
1492.809517,1000,851.694941
1457.769153,1000,875.42208
1607.435701,1000,899.143982
1537.964979,1000,922.559525
1595.135197,1000,945.511814
1682.851108,1000,969.304925
1786.783477,1000,993.032887
1779.479272,1000,1011.723408
1718.654407,1000,1035.464561
1774.078149,1000,1058.998908
1833.405493,1000,1082.598404
1833.611317,1000,1106.196611
1795.545743,1000,1129.892021
1810.143449,1000,1153.534888
1911.395396,1000,1178.052582
1853.274045,1000,1201.612458
1889.631871,1000,1224.202543
1921.867055,1000,1247.267817
2026.5839,1000,1270.355245
1972.525484,1000,1294.064506
1898.412467,1000,1317.902482
2059.260007,1000,1341.12022
2082.262179,1000,1364.333656
1989.993263,1000,1387.679801
2039.776296,1000,1410.8844
2043.071117,1000,1433.733985
2061.668526,1000,1456.926892
2097.980027,1000,1480.009192
2139.478393,1000,1498.234573
2114.231473,1000,1521.35643
2150.058174,1000,1544.501472
2215.726022,1000,1567.407598
2213.24527,1000,1590.366123
2201.831544,1000,1613.260575
2208.130522,1000,1636.525479
2208.263744,1000,1659.699167
2265.990777,1000,1682.611054
2247.178525,1000,1705.951177
2112.736866,1000,1729.390995
2177.028614,1000,1752.823745
2364.509636,1000,1776.17488
2302.089255,1000,1799.578088
2357.449318,1000,1823.112537
2339.886065,1000,1846.783742
2300.127134,1000,1870.319593
2469.257341,1000,1893.513125
2447.960816,1000,1916.887549
2384.690971,1000,1940.551029
2396.636652,1000,1964.054374
2447.917566,1000,1986.659533
2356.484955,1000,2004.650565
2357.834789,1000,2027.577318
2367.514093,1000,2050.578591
2538.419431,1000,2072.530686
2522.875816,1000,2094.795919
2501.660513,1000,2117.404909
2444.273868,1000,2139.451346
2538.779385,1000,2162.245298
2535.312579,1000,2184.482588
2583.290803,1000,2206.99553
2521.921642,1000,2228.719203
2609.792509,1000,2250.887185
2542.163192,1000,2272.912381
2582.946109,1000,2295.737799
2644.502254,1000,2318.752435
2683.118418,1000,2341.594322
2617.446462,1000,2364.374874
2605.238082,1000,2387.194431
2591.132361,1000,2410.095581
2714.438936,1000,2432.864605
2634.541105,1000,2455.533113
2658.328785,1000,2473.454385
1639.931311,681,2492.143688
2700.300941,1000,2515.279203
2664.666202,1000,2538.075234
2653.878964,1000,2560.857347
2685.392086,1000,2583.477542
2765.529373,1000,2606.545928
2771.157067,1000,2629.456967
2780.824525,1000,2647.535478
2625.519144,1000,2671.154169
2847.847002,1000,2693.818373
2824.201478,1000,2716.768606
2784.907003,1000,2739.818907
2115.459493,1000,2762.989831
2879.76774,1000,2786.024079
2842.594918,1000,2808.953007
2807.383797,1000,2830.813383
2901.353869,1000,2852.724481
2803.261769,1000,2875.338115
