#{"t_start": 1638295899.3293097, "env_id": "AntBulletEnv-v0"}
r,l,t
437.129905,1000,23.420349
484.746764,1000,47.53707
413.438685,1000,71.342965
335.722253,1000,95.276172
426.640346,1000,119.034641
449.159742,1000,141.815216
547.924255,1000,165.737877
571.39166,1000,189.488894
563.215794,1000,213.519024
554.868918,1000,237.556765
519.762959,1000,261.614903
716.118676,1000,285.558501
624.922273,1000,309.350194
804.460179,1000,332.83599
648.706819,1000,356.753572
558.2617,1000,380.472839
773.237489,1000,404.178994
872.132823,1000,427.827929
901.325623,1000,451.509855
766.473193,1000,474.99063
1090.752928,1000,499.059549
1169.156174,1000,518.032502
1173.936623,1000,542.045652
1022.545906,1000,565.299923
1206.528689,1000,589.01831
1110.592903,1000,612.971779
1142.878096,1000,636.60546
1260.019341,1000,660.367394
1329.647431,1000,684.416749
1360.001182,1000,708.311224
1153.103996,1000,732.2579
1312.439128,1000,756.057922
1298.700379,1000,779.772587
1432.737564,1000,803.754318
1299.9272,1000,827.583263
1557.899537,1000,851.693856
1578.754613,1000,875.421295
1615.194445,1000,899.143057
1641.245517,1000,922.55892
1719.998043,1000,945.51122
1665.932861,1000,969.304346
1629.974262,1000,993.032234
1758.196623,1000,1011.722096
1818.089546,1000,1035.463931
1814.043896,1000,1058.998272
1846.187705,1000,1082.595212
1859.544393,1000,1106.195653
1884.797803,1000,1129.891409
1905.891309,1000,1153.534045
1932.53808,1000,1178.051911
1860.881959,1000,1201.610727
1935.993996,1000,1224.201997
1917.096957,1000,1247.267219
1965.101847,1000,1270.354592
2030.467373,1000,1294.06377
2009.527792,1000,1317.901831
2011.979325,1000,1341.119642
2036.99552,1000,1364.332806
1965.507693,1000,1387.679253
2070.03005,1000,1410.883836
2109.421193,1000,1433.733185
2088.217762,1000,1456.926277
2051.785197,1000,1480.008665
2079.085743,1000,1498.23385
2093.01133,1000,1521.355853
2075.853611,1000,1544.500585
2150.470609,1000,1567.406898
2219.028368,1000,1590.365322
2156.344085,1000,1613.260083
2139.742038,1000,1636.524944
2186.319232,1000,1659.69821
2169.539681,1000,1682.61022
2251.848019,1000,1705.95036
2241.163196,1000,1729.390372
2314.067358,1000,1752.822449
2407.112328,1000,1776.173954
2227.946387,1000,1799.577496
2238.248132,1000,1823.111994
2295.904597,1000,1846.782883
2462.382855,1000,1870.318978
2423.779966,1000,1893.512425
2450.805157,1000,1916.887043
2369.58438,1000,1940.550426
2407.490226,1000,1964.053862
1606.059115,1000,1986.658974
2464.22363,1000,2004.650036
2305.902471,1000,2027.57656
2437.58603,1000,2050.578067
2514.693468,1000,2072.530163
2619.239187,1000,2094.795338
2553.584233,1000,2117.404338
2505.787542,1000,2139.450884
2563.118565,1000,2162.244846
2450.210146,1000,2184.482078
2539.96716,1000,2206.995009
2270.752445,1000,2228.718635
2575.301449,1000,2250.886129
2596.159874,1000,2272.911875
2564.544831,1000,2295.737345
2634.237298,1000,2318.75153
2588.254886,1000,2341.59348
2628.359703,1000,2364.374348
2728.496583,1000,2387.193943
2365.875755,1000,2410.095059
2647.538058,1000,2432.863934
2724.781202,1000,2455.532619
2529.660907,1000,2473.453854
2513.699825,1000,2496.256843
2652.825951,1000,2519.345231
2643.593473,1000,2542.144616
2813.012251,1000,2564.877197
2636.442617,1000,2587.642519
2799.179307,1000,2610.690631
2819.033769,1000,2633.541769
2863.416375,1000,2656.855693
2773.986747,1000,2680.100153
2700.484316,1000,2702.991264
2700.383121,1000,2726.024305
2726.25544,1000,2749.064419
2862.904194,1000,2772.088653
2807.432702,1000,2795.181097
2670.776774,1000,2818.097386
2850.583257,1000,2839.944971
2896.649196,1000,2861.771644
2655.764592,1000,2884.47929
