#{"t_start": 1638295899.3379855, "env_id": "AntBulletEnv-v0"}
r,l,t
473.169804,1000,23.424382
426.275917,1000,47.541081
455.862814,1000,71.346626
348.939527,1000,95.279538
388.569222,1000,119.038364
480.254815,1000,141.820669
538.653909,1000,165.741537
513.994818,1000,189.49262
512.279185,1000,213.522883
644.61239,1000,237.560847
639.921988,1000,261.61932
643.006085,1000,285.56232
610.422671,1000,309.353121
719.830234,1000,332.839875
825.130972,1000,356.75694
891.143492,1000,380.475866
861.921093,1000,404.182404
849.184173,1000,427.831126
968.73385,1000,451.512842
941.449527,1000,474.993427
956.967527,1000,499.062638
1043.301565,1000,518.035724
1046.8831,1000,542.048963
1186.456599,1000,565.304905
1112.265601,1000,589.02155
1253.751107,1000,612.9755
1178.606057,1000,636.609014
1278.053175,1000,660.370654
1143.176688,1000,684.42077
1403.240434,1000,708.314735
1356.340429,1000,732.261475
1484.760872,1000,756.061265
1454.054552,1000,779.776194
1478.793442,1000,803.757947
1495.683688,1000,827.586689
1509.22388,1000,851.697127
1589.018386,1000,875.424575
1655.96516,1000,899.146125
1647.606958,1000,922.561689
1694.801697,1000,945.514309
1613.843873,1000,969.307819
1652.288259,1000,993.03532
1710.783009,1000,1011.725832
1806.697193,1000,1035.466919
1774.050191,1000,1059.001109
1865.662484,1000,1082.604228
1820.083337,1000,1106.199979
1884.694768,1000,1129.894913
1893.469465,1000,1153.536944
1918.14399,1000,1178.055739
1988.024118,1000,1201.615208
1948.024106,1000,1224.205102
1988.089112,1000,1247.270018
1914.955345,1000,1270.357831
1923.779532,1000,1294.066764
1903.936752,1000,1317.904697
2023.318992,1000,1341.122166
2012.593147,1000,1364.335607
2058.009906,1000,1387.68198
2133.854154,1000,1410.886787
2027.883462,1000,1433.736282
2046.419147,1000,1456.929336
2169.019819,1000,1480.01151
2139.812411,1000,1498.236734
2079.091882,1000,1521.358678
2111.130363,1000,1544.503307
2071.168938,1000,1567.410157
2227.572037,1000,1590.368227
2220.211196,1000,1613.262796
2272.165474,1000,1636.528352
2184.191856,1000,1659.701042
2264.435063,1000,1682.613158
2257.92835,1000,1705.953752
2239.475303,1000,1729.393089
2216.035806,1000,1752.826639
2309.255805,1000,1776.176932
2385.059605,1000,1799.580859
2264.606722,1000,1823.115016
2318.393405,1000,1846.786365
2381.36123,1000,1870.32218
2343.670997,1000,1893.515978
2359.671715,1000,1916.889948
2473.761038,1000,1940.553637
2329.027969,1000,1964.056346
2324.393212,1000,1986.661284
2525.017166,1000,2004.652485
2465.045343,1000,2027.579339
2312.516973,1000,2050.580765
2407.885353,1000,2072.533028
2427.955342,1000,2094.797771
2531.615775,1000,2117.407651
2583.195245,1000,2139.45361
2568.222005,1000,2162.247188
2548.684038,1000,2184.484478
2530.85376,1000,2206.997386
2108.201419,1000,2228.721114
2563.208092,1000,2250.889228
2506.015338,1000,2272.914598
2622.457562,1000,2295.739989
2572.270792,1000,2318.754522
2526.718773,1000,2341.596332
2634.672654,1000,2364.377307
2714.786425,1000,2387.196331
2711.022403,1000,2410.097395
674.205528,1000,2432.866453
2674.410842,1000,2455.534974
2641.744629,1000,2473.456202
2555.640659,1000,2496.259132
2664.947225,1000,2519.347637
2509.456145,1000,2542.147032
2554.48622,1000,2564.879883
2582.867937,1000,2587.645195
2733.540024,1000,2610.693306
2787.226214,1000,2633.544502
2680.44986,1000,2656.858176
2787.573287,1000,2680.10211
2758.970749,1000,2702.99366
2685.248359,1000,2726.026498
2633.227609,1000,2749.066769
2812.458254,1000,2772.090868
2783.120728,1000,2795.183458
2659.497656,1000,2818.099839
2800.705305,1000,2839.947734
2825.433236,1000,2861.773991
2808.70443,1000,2884.481104
