#{"t_start": 1638295899.3348603, "env_id": "AntBulletEnv-v0"}
r,l,t
22.218837,61,5.197585
490.107759,1000,29.253744
382.33335,1000,53.457142
507.301435,1000,72.163222
453.193493,1000,96.089251
486.204982,1000,119.846013
461.489758,1000,142.676648
519.894216,1000,166.541844
615.669488,1000,190.329058
561.15837,1000,214.374708
410.97727,1000,238.382422
584.137361,1000,262.463825
482.667996,1000,286.38204
719.19923,1000,310.160432
714.434138,1000,333.66504
829.81913,1000,357.609228
692.968518,1000,381.308486
892.991309,1000,405.000912
869.791171,1000,428.6408
874.227572,1000,452.336802
936.311844,1000,475.850039
1107.627937,1000,499.915844
1189.583856,1000,523.880348
853.717908,1000,547.910279
1119.473843,1000,566.15888
1113.532127,1000,589.821262
1190.396828,1000,613.805363
1184.168679,1000,637.447951
1294.166248,1000,661.19962
1321.198807,1000,685.253964
1305.582385,1000,709.153392
1299.352553,1000,733.112726
1413.173632,1000,756.904892
1396.639997,1000,780.617219
1295.655211,1000,804.610668
1537.691806,1000,828.392216
1571.001922,1000,852.540061
1520.082226,1000,876.240525
1623.442454,1000,899.945627
1690.242201,1000,923.389
1625.588163,1000,946.341697
1684.885714,1000,970.115138
1730.57039,1000,993.863216
1778.482284,1000,1017.623679
1721.829048,1000,1041.267399
1791.597312,1000,1064.791018
1768.755496,1000,1083.439783
1736.551985,1000,1107.063298
1822.176112,1000,1130.724076
1865.232115,1000,1154.331614
1908.35595,1000,1178.915442
1942.790684,1000,1202.416167
1903.030198,1000,1224.969903
1878.943858,1000,1248.112564
1887.923492,1000,1271.188847
1916.18922,1000,1294.921403
1967.981245,1000,1318.712445
2004.40298,1000,1341.908999
2107.078738,1000,1365.143251
2068.017862,1000,1388.463385
2137.3063,1000,1411.687103
2093.320533,1000,1434.528936
2099.810679,1000,1457.714418
2092.068039,1000,1480.809202
2137.824391,1000,1504.019859
2180.690674,1000,1527.177648
2076.117031,1000,1550.346768
2241.438844,1000,1568.21023
2141.604521,1000,1591.137351
2140.524025,1000,1614.056887
2189.342454,1000,1637.348575
2228.48578,1000,1660.496685
2285.944875,1000,1683.393416
2205.739542,1000,1706.777001
2271.212531,1000,1730.198641
2282.918732,1000,1753.684564
2404.011888,1000,1776.978369
2422.487299,1000,1800.412525
2313.978032,1000,1823.922186
2365.496427,1000,1847.581538
2408.16548,1000,1871.143245
2299.713823,1000,1894.330584
2433.946889,1000,1917.704751
2174.774686,1000,1941.384437
2353.756077,1000,1964.822848
2437.475365,1000,1987.452552
2359.554809,1000,2010.496659
2400.657003,1000,2033.418121
2536.74222,1000,2051.355881
2437.747873,1000,2073.292218
2407.171779,1000,2095.575067
2351.480671,1000,2118.223878
2594.240178,1000,2140.231571
2610.170042,1000,2163.007706
2580.071538,1000,2185.241711
2523.519244,1000,2207.755088
2571.628246,1000,2229.480868
2618.264626,1000,2251.6828
2547.048423,1000,2273.695728
2632.267192,1000,2296.499239
2630.393394,1000,2319.553711
2658.85598,1000,2342.366568
2653.580318,1000,2365.147025
2614.756836,1000,2387.985807
2647.2263,1000,2410.874341
2692.968927,1000,2433.647658
2582.017101,1000,2456.326622
2554.569759,1000,2479.217193
2654.98669,1000,2502.062323
2692.19468,1000,2525.220448
2745.147906,1000,2542.910806
2695.216447,1000,2565.64925
2639.169513,1000,2588.429552
2766.328661,1000,2611.509199
2792.599269,1000,2634.349654
2622.13651,1000,2657.661217
2767.375333,1000,2680.86545
2807.143573,1000,2703.771567
2833.154239,1000,2726.803145
2804.120017,1000,2749.87992
2710.888993,1000,2772.883407
2778.150474,1000,2795.969256
2771.270018,1000,2818.883234
2796.182494,1000,2840.751513
2814.959919,1000,2862.536517
2491.548714,1000,2885.258429
