#{"t_start": 1638295899.3356342, "env_id": "AntBulletEnv-v0"}
r,l,t
458.879405,1000,23.42309
471.080172,1000,47.539833
511.539149,1000,71.345509
448.930485,1000,95.278266
462.444641,1000,119.037192
487.682565,1000,141.81882
471.940274,1000,165.740256
428.702319,1000,189.49127
622.701588,1000,213.521768
614.950723,1000,237.559443
662.566131,1000,261.617766
609.70362,1000,285.561157
725.916289,1000,309.352405
798.993782,1000,332.838893
785.715657,1000,356.756256
879.949378,1000,380.475009
905.852237,1000,404.181743
929.846002,1000,427.830461
958.067821,1000,451.512013
1100.570979,1000,474.992647
971.876184,1000,499.061929
982.812331,1000,518.034957
1060.716561,1000,542.048165
1136.946124,1000,565.304044
1160.910625,1000,589.020824
817.376832,1000,612.974695
1197.351904,1000,636.608258
1322.347738,1000,660.369532
1286.654791,1000,684.419916
1329.3525,1000,708.31401
1317.415517,1000,732.26065
1379.052574,1000,756.060311
1457.731191,1000,779.775446
1338.979947,1000,803.756974
1497.693209,1000,827.58597
1555.110743,1000,851.696402
1610.794206,1000,875.423858
1564.945824,1000,899.145452
1677.235948,1000,922.560941
1503.30574,1000,945.513647
1757.757096,1000,969.306506
1746.527331,1000,993.034528
1728.792771,1000,1011.725049
1779.694225,1000,1035.46609
1722.557328,1000,1059.000396
1777.366902,1000,1082.603527
1826.18226,1000,1106.198447
1645.223749,1000,1129.893886
1733.566131,1000,1153.536264
1903.087494,1000,1178.054786
1921.675611,1000,1201.614295
1940.520401,1000,1224.204406
1888.931467,1000,1247.269295
1946.261415,1000,1270.356715
1942.985573,1000,1294.066033
1990.703046,1000,1317.90394
1985.11175,1000,1341.121512
2047.60439,1000,1364.334978
2016.20796,1000,1387.681223
2003.718507,1000,1410.886157
2045.33939,1000,1433.73563
2053.15259,1000,1456.928678
2107.439352,1000,1480.010941
2148.044686,1000,1498.236107
2190.795523,1000,1521.357788
2127.532111,1000,1544.502737
2193.744538,1000,1567.409427
2233.288547,1000,1590.367604
2171.325564,1000,1613.262209
2243.844953,1000,1636.527185
2187.305355,1000,1659.70049
2191.687526,1000,1682.612506
2327.003609,1000,1705.952974
2189.315291,1000,1729.392368
2280.584146,1000,1752.825772
2340.382109,1000,1776.176311
2342.875,1000,1799.57956
2390.629136,1000,1823.114322
2316.641652,1000,1846.78572
2401.494522,1000,1870.321479
974.89513,1000,1893.51477
2382.153424,1000,1916.888861
2369.386946,1000,1940.552817
2495.181976,1000,1964.055698
2429.719182,1000,1986.660752
2400.838249,1000,2004.651828
2546.037041,1000,2027.578715
2152.769406,1000,2050.580212
2586.466633,1000,2072.531971
2537.838961,1000,2094.797161
2457.657994,1000,2117.40614
2471.522948,1000,2139.452849
2627.889478,1000,2162.24659
2474.194097,1000,2184.483846
2427.489907,1000,2206.996761
2557.464081,1000,2228.720536
2547.445396,1000,2250.8886
2687.854717,1000,2272.913617
2579.798721,1000,2295.739239
2639.096531,1000,2318.753957
2624.124968,1000,2341.595685
2604.793161,1000,2364.376596
2535.677343,1000,2387.195757
2578.46554,1000,2410.096807
2551.126865,1000,2432.865843
2668.743255,1000,2455.534384
2684.074754,1000,2473.455615
2732.956696,1000,2496.258207
2711.985293,1000,2519.347025
2702.06005,1000,2542.146221
2774.517739,1000,2564.879236
2721.160935,1000,2587.644363
2742.260142,1000,2610.692483
2681.760207,1000,2633.54385
2608.787375,1000,2656.857572
2842.115476,1000,2680.101519
2846.160775,1000,2702.993123
2670.923162,1000,2726.025953
2751.449966,1000,2749.065832
2889.462611,1000,2772.090121
2882.906449,1000,2795.182934
2713.446313,1000,2818.098834
2709.868788,1000,2839.946237
2681.326483,1000,2861.773419
996.664196,1000,2884.480584
