#{"t_start": 1638295899.3261418, "env_id": "AntBulletEnv-v0"}
r,l,t
484.970995,1000,23.418677
479.146495,1000,47.535622
456.346648,1000,71.342297
460.508046,1000,95.275765
499.554541,1000,119.034443
403.988788,1000,141.815026
557.790441,1000,165.737705
514.654384,1000,189.488247
570.875893,1000,213.518893
617.468484,1000,237.55637
621.880622,1000,261.614589
436.258051,1000,285.558266
713.919328,1000,309.349991
749.135246,1000,332.835614
805.357667,1000,356.753141
687.003391,1000,380.472606
1009.532157,1000,404.178813
944.512025,1000,427.827758
956.423573,1000,451.509694
965.719152,1000,474.990442
1108.452664,1000,499.059273
902.649202,1000,518.032031
951.675908,1000,542.044923
698.63875,1000,565.299437
1283.745011,1000,589.01812
1107.883101,1000,612.971519
1145.012335,1000,636.6053
1252.00093,1000,660.36722
1317.249192,1000,684.416418
1367.296353,1000,708.311057
1413.658107,1000,732.257413
1440.246382,1000,756.057307
1430.189714,1000,779.772136
1506.795312,1000,803.753489
1558.137319,1000,827.583055
1597.09656,1000,851.693458
1566.513128,1000,875.418297
1651.476075,1000,899.142905
1688.152753,1000,922.5585
1656.757124,1000,945.511025
1644.243519,1000,969.304236
1777.448123,1000,993.031957
1805.304018,1000,1011.721821
1756.775523,1000,1035.463587
1729.299506,1000,1058.998109
1795.148658,1000,1082.594345
1879.46351,1000,1106.195405
1846.975846,1000,1129.891279
1913.44628,1000,1153.533595
1900.12092,1000,1178.051292
1894.503661,1000,1201.609261
1954.348523,1000,1224.201915
1990.294381,1000,1247.266754
1894.793703,1000,1270.35449
1885.874685,1000,1294.063116
2004.405543,1000,1317.901407
2004.396021,1000,1341.119267
2138.312273,1000,1364.332729
2056.008137,1000,1387.678645
2101.748141,1000,1410.883796
2058.388509,1000,1433.733149
2060.667624,1000,1456.926126
2036.379983,1000,1480.008588
2136.751104,1000,1498.233798
2103.56823,1000,1521.355701
2182.104362,1000,1544.500553
2135.920519,1000,1567.406845
2230.603619,1000,1590.365317
2168.132915,1000,1613.260049
2151.290244,1000,1636.524833
2189.037157,1000,1659.698221
2174.709906,1000,1682.61008
2109.310733,1000,1705.950193
2319.981587,1000,1729.389838
2280.175291,1000,1752.822067
2307.29299,1000,1776.173802
2340.949855,1000,1799.577327
2174.515426,1000,1823.111856
2324.663918,1000,1846.782779
2386.491126,1000,1870.318779
2384.694141,1000,1893.512215
2458.360782,1000,1916.887
2322.450777,1000,1940.550193
2410.316822,1000,1964.053683
2298.245327,1000,1986.658931
2431.479242,1000,2004.650002
2377.399717,1000,2027.576266
2466.141429,1000,2050.578047
2370.444173,1000,2072.530172
2445.821728,1000,2094.795328
2466.020628,1000,2117.404297
2281.338896,1000,2139.450871
2554.89554,1000,2162.244824
2408.828814,1000,2184.48175
2550.303159,1000,2206.994608
2470.858117,1000,2228.718564
2628.459637,1000,2250.886082
2508.749478,1000,2272.911762
2567.423228,1000,2295.737309
2662.108876,1000,2318.751472
2680.32617,1000,2341.593439
2637.844103,1000,2364.374248
2634.900361,1000,2387.193878
2503.357603,1000,2410.095071
2635.124013,1000,2432.863651
2645.085816,1000,2455.532588
2634.445336,1000,2473.453448
2742.268181,1000,2496.256721
2555.293747,1000,2519.345275
2767.151149,1000,2542.144457
2684.981305,1000,2564.877099
2662.522079,1000,2587.642432
2711.547635,1000,2610.690488
2710.701487,1000,2633.541546
2758.293859,1000,2656.855556
2854.808361,1000,2680.099841
2773.767569,1000,2702.99119
2766.078912,1000,2726.024245
2773.479087,1000,2749.064414
2808.481105,1000,2772.08872
2818.222457,1000,2795.180906
2847.897617,1000,2818.097254
2821.884836,1000,2839.944915
2787.704993,1000,2861.771687
1907.049292,1000,2884.478878
